name,link,state
Alabama Reflector,https://alabamareflector.com/feed/localFeed,Alabama
Alaska Beacon,https://alaskabeacon.com/feed/localFeed,Alaska
Arizona Mirror,https://azamirror.com/feed/localFeed,Arizona
Arkansas Advocate,https://arkansasadvocate.com/feed/localFeed,Arkansas
California,https://calmatters.org/feed/,California
Connecticut Mirror,https://ctmirror.org/feed/,Connecticut
Colorado Newsline,https://coloradonewsline.com/feed/localFeed,Colorado
Delaware,https://delawarelive.com/feed/,Delaware
Florida Phoenix,https://floridaphoenix.com/feed/localFeed,Florida
Georgia Recorder,https://georgiarecorder.com/feed/localFeed,Georgia
Idaho Capital Sun,https://idahocapitalsun.com/feed/localFeed,Idaho
Indiana Capital Chronicle,https://indianacapitalchronicle.com/feed/localFeed,Indiana
Capitol News Illinois,https://capitolnewsillinois.com/feed/,Illinois
Iowa Capital Dispatch,https://iowacapitaldispatch.com/feed/localFeed,Iowa
Kansas Reflector,https://kansasreflector.com/feed/localFeed,Kansas
Kentucky Lantern,https://kentuckylantern.com/feed/localFeed,Kentucky
Louisiana Illuminator,https://lailluminator.com/feed/localFeed,Louisiana
Maine Morning Star,https://mainemorningstar.com/feed/localFeed,Maine
Maryland Matters,https://marylandmatters.org/feed/localFeed,Maryland
Michigan Advance,https://michiganadvance.com/feed/localFeed,Michigan
Minnesota Reformer,https://minnesotareformer.com/feed/localFeed,Minnesota
Missouri Independent,https://missouriindependent.com/feed/localFeed,Missouri
Daily Montanan,https://dailymontanan.com/feed/localFeed,Montana
North Carolina Newsline,https://ncnewsline.com/feed/localFeed,North Carolina
North Dakota Monitor,https://northdakotamonitor.com/feed/localFeed,North Dakota
Nebraska Examiner,https://nebraskaexaminer.com/feed/localFeed,Nebraska
New Hampshire Bulletin,https://newhampshirebulletin.com/feed/localFeed,New Hampshire
New Jersey Monitor,https://newjerseymonitor.com/feed/localFeed,New Jersey
Source New Mexico,https://sourcenm.com/feed/localFeed,New Mexico
Nevada Current,https://nevadacurrent.com/feed/localFeed,Nevada
Ohio Capital Journal,https://ohiocapitaljournal.com/feed/localFeed,Ohio
Oklahoma Voice,https://oklahomavoice.com/feed/localFeed,Oklahoma
Oregon Capital Chronicle,https://oregoncapitalchronicle/feed/localFeed,Oregon
Pennsylvania Capital Star,https://penncapital-star.com/feed/localFeed,Pennsylvania
Rhode Island Current,https://rhodeislandcurrent.com/feed/localFeed,Rhode Island
South Carolina Daily Gazette,https://scdailygazette.com/feed/localFeed,South Carolina
South Dakota Searchlight,https://southdakotasearchlight.com/feed/localFeed,South Dakota
Tennessee Lookout,https://tennesseelookout.com/feed/localFeed,Tennessee
Utah News Dispatch,https://utahnewsdispatch.com/feed/localFeed,Utah
Virginia Mercury,https://virginiamercury.com/feed/localFeed,Virginia
Washington State Standard,https://washingtonstatestandard.com/feed/localFeed,Washington
West Virginia Watch,https://westvirginiawatch.com/feed/localFeed,West Virginia
Wisconsin Examiner,https://wisconsinexaminer.com/feed/localFeed,Wisconsin
National,https://stateline.org/feed/localFeed,National
DC,https://www.newsfromthestates.com/api/v2/article/category?article_category=565,DC
